14号染色体	中文名	14号染色体
14号染色体	定义	"已完成测序的第4条染色体"
14号染色体	意义	"占整个人类基因组的3%"
14号染色体	核苷酸	"87,410,661个核苷酸"
17α-羟孕酮	中文学名	17α-羟孕酮
17α-羟孕酮	别称	"17α-羟基黄体酮"
2014年西非埃博拉病毒疫情	中文名	2014年西非埃博拉病毒疫情
2014年西非埃博拉病毒疫情	受灾区域	"非洲西部、西班牙、美国"
2014年西非埃博拉病毒疫情	感染人数	"19031"
2014年西非埃博拉病毒疫情	病原体	"埃博拉病毒"
2014年西非埃博拉病毒疫情	遇难人数	"7373"
2015年H5N1禽流感疫情	中文名	2015年H5N1禽流感疫情
2015年H5N1禽流感疫情	外文名	"The H5N1 avian influenza in 2015"
2015年H5N1禽流感疫情	死亡病死	"无"
2015年H5N1禽流感疫情	疫情地区	"河南、四川、云南"
2016年中央电视台春节联欢晚会	中文名称	2016年中央电视台春节联欢晚会
2016年中央电视台春节联欢晚会	主持人	"周涛、朱军、董卿、撒贝宁、李思思、尼格买提等"
2016年中央电视台春节联欢晚会	别名	"2016年央视猴年春晚；央视2016春晚"
2016年中央电视台春节联欢晚会	制作公司	"中央电视台"
2016年中央电视台春节联欢晚会	国家/地区	"中国大陆"
2016年中央电视台春节联欢晚会	在线播放平台	"央视网、爱奇艺、优酷土豆、腾讯视频、乐视等"
2016年中央电视台春节联欢晚会	外文名称	"2016 CCTV Spring Festival Gala"
2016年中央电视台春节联欢晚会	导演	"吕逸涛"
2016年中央电视台春节联欢晚会	播出状态	"已完结"
2016年中央电视台春节联欢晚会	播出频道	"中央电视台"
2016年中央电视台春节联欢晚会	晚会主题	"你我中国梦、全面建小康"
2016年中央电视台春节联欢晚会	晚会吉祥物	"康康"
2016年中央电视台春节联欢晚会	每集长度	"4小时44分"
2016年中央电视台春节联欢晚会	类型	"综艺性文艺晚会"
2016年中央电视台春节联欢晚会	首播时间	"2016年2月7日晚20:00"
2018年MERS疫情	中文名	2018年MERS疫情
2018年MERS疫情	发生地区	"韩国"
2018年埃博拉疫情	中文名	2018年埃博拉疫情
2018年埃博拉疫情	事发地点	"刚果（金）"
2018年埃博拉疫情	事发时间	"2018年"
2018年埃博拉疫情	涉及病毒	"埃博拉病毒"
2018年麻疹疫情	中文名	2018年麻疹疫情
2018年麻疹疫情	感染人数	"4.1万"
2018年麻疹疫情	死亡人数	"至少37人"
